PRODUK_CODE,NAMA_PRODUK,BOM_CODE,MATERIAL_NAME,PERCENTAGE,QTY,SATUAN,STANDARD_COST,WASTE,TOTAL_BIAYA
4010304003.0,VOLARE HAND & MOUTH FG 30S @24,3020503002.0,JR FN 45-76 H 50% R/50%P 15 CM,,0.9719999999999999,KG,29444.444444444445,0.05,30126.315789473683
4010304004.0,VOLARE HAND & MOUTH FG 80S FT @10,3020503010.0,JR FN 45-76 H 50% R/50%P 40 CM,,1.08,KG,29444.444444444445,0.05,33473.68421052632
4010304002.0,VOLARE HAND & MOUTH FG 80S FT @18,3020503010.0,JR FN 45-76 H 50% R/50%P 40 CM,,1.9439999999999997,KG,29444.444444444445,0.05,60252.63157894737
4010304005.0,VOLARE HAND & MOUTH FG BIO 80S @16,3021801001.0,JR FN 42-76 H 100% R 20 CM,,1.6128,KG,0,0.05,0.0
4010305001.0,VOLARE FACIAL COTTON 250S @24,3020801002.0,JR FN 65-25 D 50%R/42.5%P/7.5%ES 25CMFCT,,2.106,KG,29538.888888888883,0.05,65483.05263157894
4010401001.0,POLYMORPH HD 30X32 10S MIX @60,3021402001.0,JR FN 90-14 H 80%R/10%P/10%ES 30 CM HDB,,1.2959999999999998,KG,33836.96055851727,0.05,46160.73777246145
4010401018.0,POLYMORPH HD 30X32 PACK 6S MIX @60,3021402001.0,JR FN 90-14 H 80%R/10%P/10%ES 30 CM HDB,,0.7776000000000001,KG,33836.96055851727,0.05,27696.442663476875
4010401002.0,POLYMORPH HD 30X32 10S WHITE @63,3021402005.0,JR FN 90-14 H 80%R/10%P/10%ES 30 CM,,5.4432,KG,33385.18518518518,0.05,191286.56842105262
4010401003.0,POLYMORPH HD VALUE PACK 0.5 KG MIX @12,3021402001.0,JR FN 90-14 H 80%R/10%P/10%ES 30 CM HDB,,1.5,KG,33836.96055851727,0.05,53426.77982923779
4010401004.0,POLYMORPH HD VALUE PACK 0.5 KG WHITE @12,3021402005.0,JR FN 90-14 H 80%R/10%P/10%ES 30 CM,,6.0,KG,33385.18518518518,0.05,210853.80116959065
4010401005.0,POLYMORPH HD 30X45 (ROLL) MIX @6,3011602001.0,MR FN 90-14 H 80%R/10%P/10%ES 165 CM HDB,,1.42155,KG,30453.264502665545,0.1,48100.93128196023
4010401006.0,POLYMORPH HD 30X45 (ROLL) WHITE @6,3011602005.0,MR FN 90-14 H 80%R/10%P/10%ES 165 CM,,5.6862,KG,30046.666666666664,0.1,189834.84
4010401014.0,POLYMORPH HD 30X45 (ROLL) RED @6,3011602002.0,MR FN 90-14 H 80%R/10%P/10%ES 165 CM HDR,,5.6862,KG,30553.472134539843,0.1,193036.83694602276
4010401015.0,POLYMORPH HD 30X45 (ROLL) BLUE @6,3011602001.0,MR FN 90-14 H 80%R/10%P/10%ES 165 CM HDB,,5.6862,KG,30453.264502665545,0.1,192403.7251278409
4010401016.0,POLYMORPH HD 30X45 (ROLL) GREEN @6,3011602004.0,MR FN 90-14 H 80%R/10%P/10%ES 165 CM HDG,,5.6862,KG,30545.293122194165,0.1,192985.16194602274
4010401017.0,POLYMORPH HD 30X45 (ROLL) YELLOW @6,3011602003.0,MR FN 90-14 H 80%R/10%P/10%ES 165 CM HDY,,5.6862,KG,30363.760767396183,0.1,191838.2405284091
4010401007.0,POLYMORPH HD 30X60 10S MIX @33,3021402001.0,JR FN 90-14 H 80%R/10%P/10%ES 30 CM HDB,,1.3364999999999998,KG,33836.96055851727,0.05,47603.26082785087
